Timestamp,Faculty or Major :,What print resolution do you want?,Type of Material?,What kind of strength / fill density do you need? Note that higher density means more material and higher Cost.,Color of the Print? (PLA or ABS),"Upload your .STL file(s). Dimensions should be in mm. Format must be ""YOURNAME_NUMBER OF COPIES TO PRINT_FILENAME"" (e.g. ""JOHNDOE_2_Turtle.stl""). Only send in .STL files.","Rush order? (2-3 days instead of 5-7 days, 10%+$5 fee)"
01/08/2017 16:41:50,MECH,Standard - 200 Microns,PLA (Standard strength and durability with Wide Range of Colors Avaliable),,Black (ABS + PLA),,
29/08/2017 10:16:45,Engineering,Fine - 100 Microns (Extra $2 fee added to the Setup Costs),"Ugly Flex ($0.50, Flexible and around 80% rubber elasticity - Red Color)",50% (High Density and Strongest) (1st Square from the right),Red (PLA Only),"https://drive.google.com/open?id=0Bzu5V8YEIMSiWW1ITkxibmx0NzQ, https://drive.google.com/open?id=0Bzu5V8YEIMSiOFJGRlM5VkthREE",
15/09/2017 14:23:37,Engineering,Fine - 100 Microns (Extra $2 fee added to the Setup Costs),"Ugly Flex ($0.50, Flexible and around 80% rubber elasticity - Red Color)",50% (High Density and Strongest) (1st Square from the right),I picked a special filament that has one color,"https://drive.google.com/open?id=0B46HhEm7VgepQzl0SWZSazJsNXc, https://drive.google.com/open?id=0B46HhEm7VgepcFgwYzBkWTVnNmc, https://drive.google.com/open?id=0B46HhEm7VgepeXVrTnl6emZLdTQ",
19/09/2017 11:23:08,Engineering,Standard - 200 Microns,"PLA ($0.10/gram, Standard strength and durability with Wide Range of Colors Avaliable, Corn Based and biodegradable)",20% (Standard and excellent strength for majority of usages),Black (ABS + PLA),"https://drive.google.com/open?id=0B3nlTkM0OxJNZEtZZms5R2pHOVE, https://drive.google.com/open?id=0B3nlTkM0OxJNMFJ4dVJ4OERvQTQ, https://drive.google.com/open?id=0B3nlTkM0OxJNMGpCOVE4T3c4NG8, https://drive.google.com/open?id=0B3nlTkM0OxJNNTRxNU51U0pIbUE",
19/09/2017 23:43:19,Engineering,Standard - 200 Microns,"PLA ($0.10/gram, Standard strength and durability with Wide Range of Colors Avaliable, Corn Based and biodegradable)",50% (High Density and Strongest),Dark Blue (PLA Only),https://drive.google.com/open?id=0B84Yqti6zTP2UlgwamdxemJsU0U,
24/09/2017 05:41:30,Psychology,Standard - 200 Microns,"PLA ($0.10/gram, Standard strength and durability with Wide Range of Colors Avaliable, Corn Based and biodegradable)",20% (Standard and excellent strength for majority of usages),Black (ABS + PLA),https://drive.google.com/open?id=0Bx3Lv9j0V6tcYmdHQ1ctTU9sWEU,
24/09/2017 11:28:53,Arts,Fine - 100 Microns (Extra $2 fee added to the Setup Costs),"PLA ($0.10/gram, Standard strength and durability with Wide Range of Colors Avaliable, Corn Based and biodegradable)",50% (High Density and Strongest),Black (ABS + PLA),"https://drive.google.com/open?id=0B-gwyNmZ5pVpRjJCQ2tnam85Rmc, https://drive.google.com/open?id=0B-gwyNmZ5pVpMlBRcHVYdTc0SUU, https://drive.google.com/open?id=0B-gwyNmZ5pVpMGZKdzlBYWlHdlk, https://drive.google.com/open?id=0B-gwyNmZ5pVpWDVQWW5EbnhOTnc",
26/09/2017 14:25:12,Arts,Standard - 200 Microns,"PLA ($0.10/gram, Standard strength and durability with Wide Range of Colors Avaliable, Corn Based and biodegradable)",20% (Standard and excellent strength for majority of usages),Dark Blue (PLA Only),https://drive.google.com/open?id=0B0QCxCjzbU-zOE5taVFlSVhNOUk,
02/10/2017 13:04:07,Business,Fine - 100 Microns (Extra $2 fee added to the Setup Costs),"I'm not sure what material would be best, I'd like the prototype to be as rigid as possible",50% (High Density and Strongest),I picked a special filament that has one color,"https://drive.google.com/open?id=0B0soRwYosfuMTk1qMERZelVSSWc, https://drive.google.com/open?id=0B0soRwYosfuMYk5QdlZHTDVhVFU",
02/10/2017 14:11:13,Staff,Fine - 100 Microns (Extra $2 fee added to the Setup Costs),"PLA ($0.10/gram, Standard strength and durability with Wide Range of Colors Avaliable, Corn Based and biodegradable)",50% (High Density and Strongest),I picked a special filament that has one color,"https://drive.google.com/open?id=0BzQEon1TO2YpNXNESENKbGk4SXc, https://drive.google.com/open?id=0BzQEon1TO2YpM2oySzBhZUE1N2c, https://drive.google.com/open?id=0BzQEon1TO2Ypdm42YWpyZVlmVkU, https://drive.google.com/open?id=0BzQEon1TO2YpOGRyRmZwRGRNOUk",
