Layer Height (microns),Infill (%),Material / Color,Weight (grams),Number of build plates,Cost Filament ,Price Paid,Gross Profit,Date
200,25,UglyFlex / Red,38,1,$1.90,$30.75,$28.85, 30 Aug 2017
100,20,UglyFlex / Red,8,1,$0.40,$11.25,$10.85, 15 Sep 2017
200,50,PLA / Blue,309,1,$6.80,$46.75,$39.95, 20 Sep 2017
100,20,PLA / Black,26,1,$0.57,$10.50,$9.93, 24 Sep 2017
200,20,PLA / Blue,33,1,$0.73,$8.25,$7.52, 27 Sep 2017
200,28,PLA / Blue,228,1,$5.02,$32.25,$27.23, 28 Sep 2017
100,50,PLA / Black,8,1,$0.18,$8.00,$7.82, 2 Oct 2017
100,20,"PLA / Blue.Gold,Silver",110,1,$2.42,$31.75,$29.33, 2 Oct 2017
100,20,PLA / Gold,130,1,$2.86,$22.75,$19.89, 5 Oct 2017
100,20,ABS / Black,32,1,$0.70,$12.00,$11.30, 5 Oct 2017
200,20,PLA / Black,31,1,$0.68,$8.50,$7.82, 5 Oct 2017
200,20,PLA / Red,114,1,$2.51,$16.50,$13.99,16 Oct 17
200,20,PLA / Blue,34,1,$0.75,$9.00,$8.25, 16 Oct 2017
200,20,PLA / Blue,16,1,$0.35,$6.75,$6.40, 23 Oct 2017
200,20,PLA / Black,105,1,$2.31,$21.00,$18.69, 25 Oct 2017
200,20,PLA / White,243,1,$5.35,$27.00,$21.65, 7 Nov 2017
200,20,PLA / Red,45,1,$0.99,$9.50,$8.51, 9 Nov 2017
200,28,ABS / Black,84,1,$1.85,$12.25,$10.40, 9 Nov 2017
200,20,PLA / White,280,1,$6.16,$38.00,$31.84, 14 Nov 2017
200,10,PLA / White,145,1,$3.19,$19.50,$16.31, 14 Nov 2017
200,20,ABS / White,28,1,$0.62,$9.25,$8.63, 19 Nov 2017
300,5,PLA / White,540,1,$11.88,$74.00,$62.12, 20 Nov 2017
200,20,PLA / White,360,1,$7.92,$46.00,$38.08, 26 Nov 2017
200,20,PLA / Dark Blue,7.5,1,$0.17,$5.75,$5.59, 14 Dec 2017
